,year,genre,popularity,popularity_smoothed
419,1848,fiction,9.090909090909092,6.536796536796537
420,1852,fiction,0.0,6.536796536796537
421,1853,fiction,20.0,
422,1855,fiction,0.0,
423,1856,fiction,0.0,
424,1857,fiction,,
425,1858,fiction,0.0,
426,1859,fiction,50.0,
427,1860,fiction,0.0,
428,1861,fiction,0.0,7.142857142857143
429,1862,fiction,0.0,7.142857142857143
430,1864,fiction,0.0,0.0
431,1865,fiction,0.0,4.761904761904761
432,1869,fiction,0.0,4.761904761904761
433,1873,fiction,0.0,4.761904761904761
434,1876,fiction,33.33333333333333,7.1428571428571415
435,1877,fiction,0.0,8.571428571428571
436,1880,fiction,0.0,10.0
437,1881,fiction,16.666666666666664,10.0
438,1882,fiction,10.0,9.523809523809522
439,1883,fiction,10.0,12.121212121212121
440,1884,fiction,0.0,12.121212121212121
441,1885,fiction,30.0,13.311688311688313
442,1886,fiction,18.181818181818183,11.883116883116884
443,1887,fiction,0.0,10.454545454545455
444,1889,fiction,25.0,12.495361781076069
445,1890,fiction,0.0,8.20964749536178
446,1891,fiction,0.0,
447,1892,fiction,14.285714285714285,
448,1893,fiction,0.0,
449,1894,fiction,,
450,1895,fiction,19.047619047619047,
451,1896,fiction,0.0,
452,1897,fiction,22.22222222222222,
453,1898,fiction,10.0,
454,1899,fiction,0.0,
455,1900,fiction,,
456,1901,fiction,,
457,1902,fiction,25.0,
458,1903,fiction,6.25,
459,1904,fiction,50.0,
460,1905,fiction,28.57142857142857,
461,1906,fiction,12.5,
462,1907,fiction,,
463,1908,fiction,25.0,
464,1909,fiction,0.0,
465,1910,fiction,0.0,
466,1911,fiction,0.0,27.04081632653061
467,1912,fiction,14.285714285714285,23.46938775510204
468,1913,fiction,100.0,23.46938775510204
469,1914,fiction,50.0,23.46938775510204
470,1915,fiction,0.0,24.76808905380334
471,1918,fiction,0.0,
472,1921,fiction,0.0,
473,1923,fiction,9.090909090909092,
474,1816,historical,,
475,1817,historical,,
476,1818,historical,,
477,1819,historical,,
478,1822,historical,100.0,
479,1824,historical,,
